Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,1366.49,Recived fromMr.Palitha (Post Office ),38,424,67,2019-01-05 10:52:19,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,1591.49,Recived fromMr.Palitha (Post Office ),39,80,5,2019-01-05 10:53:20,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,2116.49,Recived fromMr.Palitha (Post Office ),40,84,5,2019-01-05 10:53:48,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,2291.99,Recived fromMr.Palitha (Post Office ),41,174,234,2019-01-05 11:06:21,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,2702.39,Recived fromMr.Palitha (Post Office ),42,172,228,2019-01-05 11:06:59,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,13811.95,Recived fromMr.Palitha (Post Office ),43,159,308,2019-01-05 11:07:43,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,14056.95,Recived fromMr.Palitha (Post Office ),44,720,7,2019-01-05 11:08:02,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,14586.95,Recived fromMr.Palitha (Post Office ),45,409,10,2019-01-05 11:08:41,29,Manjula
Created,14,IR/01/19/414/00014,414,2019-01-05 10:49,14586.95,Recived fromMr.Palitha (Post Office ),,,,2019-01-05 11:09:54,29,Manjula
Created,15,IR/01/19/415/00015,415,2019-01-05 11:25,1952.96,Revived From Mr.Palitha (Romesh David BL Items),46,160,32,2019-01-05 11:27:41,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,7925.12,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,47,202,2,2019-01-07 09:20:19,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,8615.12,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,48,240,1,2019-01-07 09:20:38,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,8965.12,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,49,241,1,2019-01-07 09:20:57,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,27082.12,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,50,801,1,2019-01-07 09:21:29,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,27392.12,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,51,157,10,2019-01-07 09:21:54,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,28002.42,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,52,160,10,2019-01-07 09:22:18,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,28197.42,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,53,156,10,2019-01-07 09:22:41,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,33197.42,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,54,566,2,2019-01-07 09:23:24,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,33651.42,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,55,225,2,2019-01-07 09:23:42,29,Manjula
Created,16,IR/01/19/444/00016,444,2019-01-07 09:18,33651.42,Recived By Mr Saminda Against Issue Note 00444 which are issued for IMF Demonstration,,,,2019-01-07 09:24:52,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,175.5,Item Revived from Mr.Palitha,56,156,9,2019-01-07 15:37:51,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,3275.5,Item Revived from Mr.Palitha,57,157,100,2019-01-07 15:38:13,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,4475.5,Item Revived from Mr.Palitha,58,110,10,2019-01-07 15:40:46,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,4795.5,Item Revived from Mr.Palitha,59,109,2,2019-01-07 15:41:12,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,5579.5,Item Revived from Mr.Palitha,60,125,8,2019-01-07 15:41:42,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,6069.5,Item Revived from Mr.Palitha,61,124,7,2019-01-07 15:42:33,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,6069.5,Item Revived from Mr.Palitha,,,,2019-01-07 15:43:05,29,Manjula
Created,17,IR/01/19/366/00017,366,2019-01-07 15:36,6069.5,Item Revived from Mr.Palitha (KEELS SUPUR -KESBEWA),,,,2019-01-07 15:43:25,29,Manjula
Created,18,IR/01/19/373/00018,373,2019-01-07 15:50,6417,Revived from Mr.Palitha,62,157,207,2019-01-07 15:51:07,29,Manjula
Created,18,IR/01/19/373/00018,373,2019-01-07 15:50,6417,Revived from Mr.Palitha,,,,2019-01-07 15:51:14,29,Manjula
Created,19,IR/01/19/454/00019,454,2019-01-10 15:26,13200,,63,1259,2,2019-01-10 15:27:30,1,Admin
Created,19,IR/01/19/454/00019,454,2019-01-10 15:26,15600,,64,1258,1,2019-01-10 15:27:45,1,Admin
Created,20,IR/01/19/460/00020,460,2019-01-16 12:41,6825,DVR not working,65,1032,1,2019-01-16 12:42:01,1,Admin
Posted,20,,,,,,,,,2019-01-16 12:49:45,1,Admin
Created,21,IR/01/19/465/00021,465,2019-01-17 16:11,2700,,66,159,75,2019-01-17 16:12:10,1,Admin
Posted,21,,,,,,,,,2019-01-17 16:12:14,1,Admin
Created,22,IR/01/19/405/00022,405,2019-01-23 10:02,7921.43,,67,292,1,2019-01-23 10:04:08,1,Admin
Posted,22,,,,,,,,,2019-01-23 10:04:27,1,Admin
Created,23,IR/01/19/487/00023,487,2019-01-28 10:42,11000,Item not in stock,68,282,1,2019-01-28 10:43:45,1,Admin
Posted,23,,,,,,,,,2019-01-28 10:43:51,1,Admin
Created,24,IR/01/19/488/00024,488,2019-01-29 12:46,13310.12,Key pad mounting bracket missing.,69,197,1,2019-01-29 12:47:13,1,Admin
Posted,24,,,,,,,,,2019-01-29 12:47:24,1,Admin
Created,25,IR/01/19/472/00025,472,2019-01-31 11:04,1000,,70,295,1,2019-01-31 11:04:54,1,Admin
Posted,25,,,,,,,,,2019-01-31 11:04:58,1,Admin
Created,26,IR/01/19/468/00026,468,2019-01-31 11:08,24500,,71,1065,1,2019-01-31 11:08:43,1,Admin
Posted,26,,,,,,,,,2019-01-31 11:08:49,1,Admin
Created,27,IR/01/19/456/00027,456,2019-01-31 14:21,1000,,72,295,1,2019-01-31 14:22:15,1,Admin
Posted,27,,,,,,,,,2019-01-31 14:22:33,1,Admin
Created,28,IR/01/19/455/00028,455,2019-01-31 14:24,24500,,73,1065,1,2019-01-31 14:24:44,1,Admin
Posted,28,,,,,,,,,2019-01-31 14:24:52,1,Admin
Created,29,IR/01/19/489/00029,489,2019-01-31 22:56,4850,,74,1268,1,2019-01-31 22:57:06,1,Admin
Posted,29,,,,,,,,,2019-01-31 22:57:11,1,Admin
Created,30,IR/01/19/417/00030,417,2019-01-31 23:02,12000,,75,317,8,2019-01-31 23:02:58,1,Admin
Posted,30,,,,,,,,,2019-01-31 23:03:06,1,Admin
Created,31,IR/01/19/463/00031,463,2019-01-31 23:13,6825,Physical stock not available,76,1032,1,2019-01-31 23:14:04,1,Admin
Posted,31,,,,,,,,,2019-01-31 23:14:10,1,Admin
Posted,31,,,,,,,,,2019-01-31 23:14:11,1,Admin
Created,32,IR/01/19/481/00032,481,2019-01-31 23:14,2600,,77,654,4,2019-01-31 23:14:58,1,Admin
Posted,32,,,,,,,,,2019-01-31 23:15:05,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,170,,78,139,20,2019-02-06 13:35:21,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,270,,79,132,20,2019-02-06 13:35:42,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,290,,80,420,4,2019-02-06 13:36:06,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,530,,81,129,4,2019-02-06 13:36:40,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,1412,,82,125,9,2019-02-06 13:40:06,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,2052,,83,109,4,2019-02-06 13:41:21,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,2067,,84,419,3,2019-02-06 13:41:45,1,Admin
Created,33,IR/02/19/488/00033,488,2019-02-06 13:35,2718,,85,138,31,2019-02-06 13:42:10,1,Admin
Created,34,IR/02/19/497/00034,497,2019-02-06 13:38,105,,86,128,3,2019-02-06 13:42:48,1,Admin
Created,34,IR/02/19/497/00034,497,2019-02-06 13:38,7855,,87,157,250,2019-02-06 13:43:32,1,Admin
Created,34,IR/02/19/497/00034,497,2019-02-06 13:38,8342.5,,88,156,25,2019-02-06 13:45:32,1,Admin
Created,34,IR/02/19/497/00034,497,2019-02-06 13:38,8612.5,,89,172,150,2019-02-06 13:46:04,1,Admin
Created,34,IR/02/19/497/00034,497,2019-02-06 13:38,8725,,90,174,150,2019-02-06 13:46:36,1,Admin
Posted,33,,,,,,,,,2019-02-06 13:46:47,1,Admin
Posted,34,,,,,,,,,2019-02-06 13:48:11,1,Admin
Created,35,IR/02/19/492/00035,492,2019-02-06 13:51,6084,,91,159,169,2019-02-06 13:51:32,1,Admin
Created,35,IR/02/19/492/00035,492,2019-02-06 13:51,6869.7,,92,126,10,2019-02-06 13:54:32,1,Admin
Created,36,IR/02/19/498/00036,498,2019-02-06 13:54,183.5,,93,914,1,2019-02-06 13:55:06,1,Admin
Posted,35,,,,,,,,,2019-02-06 13:55:18,1,Admin
Posted,36,,,,,,,,,2019-02-06 13:56:43,1,Admin
Created,37,IR/02/19/492/00037,492,2019-02-06 14:03,8,,94,140,1,2019-02-06 14:03:40,1,Admin
Created,37,IR/02/19/492/00037,492,2019-02-06 14:03,272,,95,133,12,2019-02-06 14:05:06,1,Admin
Created,37,IR/02/19/492/00037,492,2019-02-06 14:03,354.5,,96,130,1.5,2019-02-06 14:05:33,1,Admin
Created,37,IR/02/19/492/00037,492,2019-02-06 14:03,544.5,,97,424,20,2019-02-06 14:05:56,1,Admin
Created,38,IR/02/19/498/00038,498,2019-02-06 14:06,120.6,,98,172,67,2019-02-06 14:07:12,1,Admin
Created,38,IR/02/19/498/00038,498,2019-02-06 14:06,199.1,,99,997,100,2019-02-06 14:07:31,1,Admin
Created,38,IR/02/19/498/00038,498,2019-02-06 14:06,319.1,,100,129,2,2019-02-06 14:07:52,1,Admin
Created,37,IR/02/19/492/00037,492,2019-02-06 14:03,573,,101,422,3,2019-02-06 14:08:15,1,Admin
Posted,37,,,,,,,,,2019-02-06 14:08:33,1,Admin
Posted,38,,,,,,,,,2019-02-06 14:08:45,1,Admin
Created,39,IR/02/19/518/00039,518,2019-02-07 22:12,5814,,102,448,1,2019-02-07 22:13:43,1,Admin
Posted,39,,,,,,,,,2019-02-07 22:13:48,1,Admin
Created,40,IR/02/19/515/00040,515,2019-02-08 12:58,8050,,103,59,1,2019-02-08 13:01:34,1,Admin
Posted,40,,,,,,,,,2019-02-08 13:01:53,1,Admin
Created,41,IR/02/19/492/00041,492,2019-02-10 21:45,8100,,104,350,1,2019-02-10 21:46:18,1,Admin
Posted,41,,,,,,,,,2019-02-10 21:46:27,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,1200,,105,127,4,2019-02-12 15:24:26,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,1728,,106,141,12,2019-02-12 15:25:48,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,2295,,107,134,14,2019-02-12 15:26:11,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,2575,,108,124,4,2019-02-12 15:26:41,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,2725,,109,131,30,2019-02-12 15:27:03,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,2777.5,,110,128,1.5,2019-02-12 15:27:31,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,3170.35,,111,126,5,2019-02-12 15:30:47,1,Admin
Created,42,IR/02/19/471/00042,471,2019-02-12 15:23,3360.35,,112,424,20,2019-02-12 15:31:20,1,Admin
Posted,42,,,,,,,,,2019-02-12 15:32:26,1,Admin
Created,43,IR/02/19/465/00043,465,2019-02-12 15:32,1980,,113,159,55,2019-02-12 15:33:01,1,Admin
Posted,43,,,,,,,,,2019-02-12 15:33:06,1,Admin
